alignment,beat_of_occurrence,crash_date,crash_day_of_week,crash_hour,crash_month,crash_record_id,crash_type,damage,device_condition,first_crash_type,latitude,lighting_condition,longitude,num_units,posted_speed_limit,prim_contributory_cause,road_defect,roadway_surface_cond,sec_contributory_cause,street_direction,street_no,traffic_control_device,trafficway_type,weather_condition,private_property_i,hit_and_run_i,intersection_related_i,crash_date_est_i,work_zone_i,workers_present_i,veh_count,ppl_count,veh_area_01_i_list_json,veh_area_02_i_list_json,veh_area_12_i_list_json,veh_crash_date_list_json,veh_crash_unit_id_list_json,veh_first_contact_point_list_json,veh_lic_plate_state_list_json,veh_make_list_json,veh_maneuver_list_json,veh_model_list_json,veh_occupant_cnt_list_json,veh_travel_direction_list_json,veh_unit_no_list_json,veh_unit_type_list_json,veh_vehicle_defect_list_json,veh_vehicle_id_list_json,veh_vehicle_type_list_json,veh_vehicle_use_list_json,veh_vehicle_year_list_json,veh_area_03_i_list_json,veh_area_04_i_list_json,veh_area_11_i_list_json,veh_towed_by_list_json,veh_towed_i_list_json,veh_area_07_i_list_json,veh_area_99_i_list_json,veh_area_09_i_list_json,veh_area_10_i_list_json,veh_cmrc_veh_i_list_json,veh_num_passengers_list_json,veh_area_08_i_list_json,veh_area_00_i_list_json,veh_area_05_i_list_json,veh_area_06_i_list_json,veh_towed_to_list_json,ppl_age_list_json,ppl_airbag_deployed_list_json,ppl_bac_result_list_json,ppl_city_list_json,ppl_crash_date_list_json,ppl_driver_action_list_json,ppl_driver_vision_list_json,ppl_drivers_license_class_list_json,ppl_drivers_license_state_list_json,ppl_ejection_list_json,ppl_hospital_list_json,ppl_person_id_list_json,ppl_person_type_list_json,ppl_physical_condition_list_json,ppl_safety_equipment_list_json,ppl_sex_list_json,ppl_state_list_json,ppl_vehicle_id_list_json,ppl_zipcode_list_json,ppl_ems_agency_list_json,ppl_seat_no_list_json,ppl_pedpedal_action_list_json,ppl_pedpedal_location_list_json,ppl_pedpedal_visibility_list_json,ppl_ems_run_no_list_json,year,month,hour,day,is_weekend,hour_bin,lat_bin,lng_bin,grid_id,ppl_age_mean,ppl_age_min,ppl_age_max,prim_contributory_cause_group,ksi_flag
STRAIGHT AND LEVEL,2031,2025-10-09 21:24:00,5,21,10,F79E94EEEE24A4F7B9BD809DA0945CD9D8AAD7E300774BFAAA6BE63BC1BEB62DE4646BF7951C21DCF82A0ADC7DB2E7A189E2E7F3DCDD940173A77486AD41F9B8,NO INJURY / DRIVE AWAY,"OVER $1,500",FUNCTIONING PROPERLY,PEDALCYCLIST,41.96872478,DUSK,-87.6888910972,2,30,UNABLE TO DETERMINE,NO DEFECTS,DRY,UNABLE TO DETERMINE,W,2398,TRAFFIC SIGNAL,NOT DIVIDED,CLEAR,0.0,0.0,1.0,0.0,0.0,1.0,2,2,[],[],[],"[""2025-10-09T21:24:00.000""]","[""2167124"", ""2167125""]","[""REAR""]","[""IL""]","[""NEW FLYER""]","[""STRAIGHT AHEAD""]","[""OTHER (EXPLAIN IN NARRATIVE)""]","[""1""]","[""E""]","[""1"", ""2""]","[""BICYCLE"", ""DRIVER""]","[""NONE""]","[""2065795""]","[""BUS OVER 15 PASS.""]","[""CTA""]","[""2008""]",[],[],[],[],[],"[""N""]","[""N""]",[],[],"[""Y""]",[],[],"[""Y""]","[""N""]","[""N""]",[],"['42', '48']","[""DID NOT DEPLOY""]","[""TEST NOT OFFERED""]","[""CHICAGO"", ""LOVESPARK""]","[""2025-10-09T21:24:00.000""]","[""UNKNOWN""]","[""NOT OBSCURED""]","[""B""]","[""IL""]","[""NONE""]",[],"[""O2167124"", ""O2167125""]","[""BICYCLE"", ""DRIVER""]","[""NORMAL""]","[""HELMET NOT USED"", ""SAFETY BELT USED""]","[""M""]","[""IL""]","[""2065795""]","[""60625"", ""61111""]",[],[],"[""TURNING RIGHT""]","[""IN ROADWAY""]","[""NO CONTRASTING CLOTHING""]",[],2025,10,21,9,False,evening,41.97,-87.69,41.97_-87.69,45.0,42,48,OTHER,0
STRAIGHT AND LEVEL,2022,2025-10-09 21:24:00,5,21,10,E56B6E1AA896B5C527A96915E6C31F3E6246741025649E6E1BE0C76E5D781CB8CC65959F6BD511EC5B3CF22CA8F811EC0A7B69C87BE439B443E8C5B334B0C8BE,INJURY AND / OR TOW DUE TO CRASH,"$501 - $1,500",NO CONTROLS,OTHER OBJECT,41.9874196072,"DARKNESS, LIGHTED ROAD",-87.656880519,2,30,DISREGARDING STOP SIGN,NO DEFECTS,DRY,DISREGARDING STOP SIGN,N,5800,STOP SIGN/FLASHER,FOUR WAY,CLEAR,0.0,1.0,1.0,0.0,0.0,1.0,1,1,[],[],[],"[""2025-10-09T21:24:00.000""]","[""2167136"", ""2167137""]","[""FRONT-LEFT-CORNER"", ""FRONT-RIGHT-CORNER""]","[""IL""]","[""UNKNOWN""]","[""STRAIGHT AHEAD""]","[""OTHER (EXPLAIN IN NARRATIVE)""]","[""1""]","[""E"", ""S""]","[""1"", ""2""]","[""DRIVER""]","[""NONE"", ""UNKNOWN""]","[""2066109"", ""2066113""]","[""OTHER""]","[""PERSONAL""]",[],[],[],"[""Y""]",[],[],[],[],[],[],[],[],[],[],[],[],[],['33'],"[""DEPLOYMENT UNKNOWN"", ""NOT APPLICABLE""]","[""TEST NOT OFFERED""]","[""CHICAGO""]","[""2025-10-09T21:24:00.000""]","[""FAILED TO YIELD"", ""NONE""]","[""NOT OBSCURED"", ""UNKNOWN""]","[""D""]","[""IL""]","[""NONE""]",[],"[""O2167136"", ""O2167137""]","[""DRIVER""]","[""OTHER"", ""UNKNOWN""]","[""USAGE UNKNOWN""]","[""M""]","[""IL""]","[""2066109"", ""2066113""]","[""60660""]",[],[],[],[],[],[],2025,10,21,9,False,evening,41.99,-87.66,41.99_-87.66,33.0,33,33,OTHER,1
STRAIGHT AND LEVEL,1235,2025-10-09 21:16:00,5,21,10,D586D3B63126CA3C78EE72BFC269888C6798DAFE9C2C2D9B4FB96BCDF4BBFB8B8EA5FB80504F4B5BE4E1645DC8C879E40EF7AD99915D691D5752171487B90730,NO INJURY / DRIVE AWAY,"OVER $1,500",NO CONTROLS,TURNING,41.8576870143,"DARKNESS, LIGHTED ROAD",-87.6387896262,2,25,IMPROPER OVERTAKING/PASSING,UNKNOWN,DRY,NOT APPLICABLE,S,1799,TRAFFIC SIGNAL,NOT DIVIDED,CLEAR,0.0,0.0,0.0,0.0,0.0,1.0,1,1,[],[],[],"[""2025-10-09T21:16:00.000""]","[""2167794"", ""2167795""]","[""FRONT-LEFT-CORNER"", ""SIDE-LEFT""]","[""IL""]","[""TOYOTA"", ""VOLKSWAGEN""]","[""TURNING RIGHT""]","[""ATLAS"", ""COROLLA""]","[""1""]","[""SW"", ""W""]","[""1"", ""2""]","[""DRIVER""]","[""UNKNOWN""]","[""2066434"", ""2066435""]","[""PASSENGER""]","[""UNKNOWN/NA""]","[""2004"", ""2021""]",[],[],"[""Y""]",[],[],[],[],[],"[""Y""]",[],[],[],[],[],[],[],['31'],"[""DEPLOYMENT UNKNOWN"", ""DID NOT DEPLOY""]","[""TEST NOT OFFERED""]","[""CHICAGO""]","[""2025-10-09T21:16:00.000""]","[""IMPROPER PASSING"", ""NONE""]","[""UNKNOWN""]","[""D""]","[""IL""]","[""NONE""]",[],"[""O2167794"", ""O2167795""]","[""DRIVER""]","[""UNKNOWN""]","[""SAFETY BELT USED"", ""USAGE UNKNOWN""]","[""F"", ""M""]","[""IL""]","[""2066434"", ""2066435""]","[""60644""]",[],[],[],[],[],[],2025,10,21,9,False,evening,41.86,-87.64,41.86_-87.64,31.0,31,31,OTHER,0
STRAIGHT AND LEVEL,411,2025-10-09 21:15:00,5,21,10,CF4341409F05A1CF8DDC98DEF6EEDF773BF850FD05B65001382E0E23C5C053F37D0F6FC2927D244B1FB2A5BD0F4735DFC058F3552030E2EAD40E58B13CA3A2A0,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO CONTROLS,SIDESWIPE SAME DIRECTION,41.756894455,DUSK,-87.59286789,2,30,IMPROPER LANE USAGE,NO DEFECTS,DRY,UNABLE TO DETERMINE,S,7601,NO CONTROLS,NOT DIVIDED,CLEAR,0.0,1.0,0.0,0.0,0.0,1.0,1,1,[],[],[],"[""2025-10-09T21:15:00.000""]","[""2167157"", ""2167158""]","[""REAR""]","[""IL""]","[""FORD"", ""TOYOTA""]","[""STRAIGHT AHEAD""]","[""CAMRY"", ""OTHER (EXPLAIN IN NARRATIVE)""]","[""1""]","[""N""]","[""1"", ""2""]","[""DRIVER""]","[""NONE""]","[""2065829"", ""2065833""]","[""PASSENGER""]","[""PERSONAL""]","[""2011"", ""2012""]",[],[],[],[],[],"[""Y""]",[],[],[],[],[],[],[],"[""Y""]","[""Y""]",[],['73'],"[""DEPLOYMENT UNKNOWN"", ""NOT APPLICABLE""]","[""TEST NOT OFFERED""]","[""CHICAGO""]","[""2025-10-09T21:15:00.000""]","[""NONE""]","[""NOT OBSCURED"", ""UNKNOWN""]",[],[],"[""NONE"", ""UNKNOWN""]",[],"[""O2167157"", ""O2167158""]","[""DRIVER""]","[""NORMAL"", ""UNKNOWN""]","[""NONE PRESENT"", ""USAGE UNKNOWN""]","[""F"", ""M""]","[""IL""]","[""2065829"", ""2065833""]","[""60619""]",[],[],[],[],[],[],2025,10,21,9,False,evening,41.76,-87.59,41.76_-87.59,73.0,73,73,OTHER,0
STRAIGHT AND LEVEL,813,2025-10-09 21:05:00,5,21,10,77D2A6D18B728B38D26D51619A0A91BA6A90DF4E9B3FEC21167853387CF1432B3B8C7A233AA2084F0FCFD110FD1C291B0A2484ECF618F710A7D77B4BD4D0B742,NO INJURY / DRIVE AWAY,"$501 - $1,500",NO CONTROLS,SIDESWIPE SAME DIRECTION,41.7892932123,DARKNESS,-87.7397438927,2,15,IMPROPER OVERTAKING/PASSING,UNKNOWN,DRY,NOT APPLICABLE,S,5702,NO CONTROLS,ONE-WAY,CLEAR,0.0,0.0,0.0,0.0,0.0,1.0,1,3,[],"[""Y""]","[""Y""]","[""2025-10-09T21:05:00.000""]","[""2167134"", ""2167135""]","[""FRONT-LEFT-CORNER"", ""SIDE-RIGHT""]","[""IL""]","[""CHRYSLER"", ""MERCEDES-BENZ""]","[""MERGING"", ""PASSING/OVERTAKING""]","[""ML350"", ""PACIFICA""]","[""1"", ""2""]","[""S""]","[""1"", ""2""]","[""DRIVER""]","[""UNKNOWN""]","[""2065812"", ""2065814""]","[""SPORT UTILITY VEHICLE (SUV)"", ""VAN/MINI-VAN""]","[""COMMERCIAL - SINGLE UNIT"", ""PERSONAL""]","[""2015"", ""2023""]","[""Y""]","[""Y""]","[""Y""]",[],[],[],[],[],[],[],"[""1""]",[],[],"[""Y""]",[],[],"['51', '55', '63']","[""NOT APPLICABLE""]","[""TEST NOT OFFERED""]","[""CHICAGO"", ""DOLTON""]","[""2025-10-09T21:05:00.000""]","[""UNKNOWN""]","[""UNKNOWN""]","[""D""]","[""IL""]","[""NONE""]",[],"[""O2167134"", ""O2167135"", ""P478179""]","[""DRIVER"", ""PASSENGER""]","[""NORMAL""]","[""USAGE UNKNOWN""]","[""F"", ""M""]","[""IL""]","[""2065812"", ""2065814""]","[""60419"", ""60616""]",[],"[""3""]",[],[],[],[],2025,10,21,9,False,evening,41.79,-87.74,41.79_-87.74,56.333333333333336,51,63,OTHER,0
STRAIGHT AND LEVEL,1613,2025-10-09 21:02:00,5,21,10,EBDF986C29B3DBAC65A6BFE83740D333087FBD9D0F973E8B623A9E2981A1DBFFA414BE628A8C85CAFD304F60CE70C55A6F8136656D745777549BDC36117EA060,NO INJURY / DRIVE AWAY,"OVER $1,500",NO CONTROLS,PARKED MOTOR VEHICLE,41.9801639618,"DARKNESS, LIGHTED ROAD",-87.8020799429,2,10,UNABLE TO DETERMINE,NO DEFECTS,DRY,NOT APPLICABLE,W,6954,NO CONTROLS,PARKING LOT,CLEAR,1.0,1.0,0.0,0.0,0.0,1.0,2,0,[],[],[],"[""2025-10-09T21:02:00.000""]","[""2167122"", ""2167123""]","[""REAR-LEFT-CORNER"", ""UNKNOWN""]","[""IL""]","[""CHEVROLET"", ""FORD""]","[""PARKED"", ""UNKNOWN/NA""]","[""MUSTANG"", ""TRUCK""]","[""0"", ""1""]","[""NE"", ""UNKNOWN""]","[""1"", ""2""]","[""DRIVER"", ""DRIVERLESS""]","[""NONE""]","[""2065802"", ""2065806""]","[""PASSENGER"", ""PICKUP""]","[""NOT IN USE"", ""UNKNOWN/NA""]","[""2024"", ""2026""]",[],[],[],[],[],"[""Y""]",[],[],[],[],[],[],[],[],[],[],[],"[""DEPLOYMENT UNKNOWN""]","[""TEST NOT OFFERED""]",[],"[""2025-10-09T21:02:00.000""]","[""IMPROPER BACKING""]","[""UNKNOWN""]",[],[],"[""NONE""]",[],"[""O2167122""]","[""DRIVER""]","[""UNKNOWN""]","[""USAGE UNKNOWN""]","[""M""]",[],"[""2065802""]",[],[],[],[],[],[],[],2025,10,21,9,False,evening,41.98,-87.8,41.98_-87.8,0.0,0,0,OTHER,0
STRAIGHT AND LEVEL,1434,2025-10-09 20:45:00,5,20,10,B244E7F42E3B9A8742FE5BB531B00F6FD1E975D93541980AEA456E64C4E1C167E2A36ED5B7B2E8F4760A03C7DA04448BE477595F68BE6603F906CB90DB359E18,NO INJURY / DRIVE AWAY,"OVER $1,500",NO CONTROLS,SIDESWIPE SAME DIRECTION,41.9104330457,"DARKNESS, LIGHTED ROAD",-87.6870781353,2,35,UNABLE TO DETERMINE,UNKNOWN,UNKNOWN,NOT APPLICABLE,W,2356,NO CONTROLS,DIVIDED - W/MEDIAN (NOT RAISED),CLEAR,0.0,1.0,0.0,0.0,0.0,1.0,1,1,[],[],[],"[""2025-10-09T20:45:00.000""]","[""2167779"", ""2167780""]","[""FRONT-LEFT-CORNER"", ""SIDE-LEFT-REAR""]","[""IL""]","[""MERCEDES-BENZ"", ""TOYOTA""]","[""STRAIGHT AHEAD""]","[""OTHER (EXPLAIN IN NARRATIVE)""]","[""1""]","[""E""]","[""1"", ""2""]","[""DRIVER""]","[""UNKNOWN""]","[""2066415"", ""2066416""]","[""SPORT UTILITY VEHICLE (SUV)"", ""UNKNOWN/NA""]","[""PERSONAL"", ""UNKNOWN/NA""]","[""2015"", ""2020""]","[""Y""]","[""Y""]",[],[],[],[],"[""Y""]","[""Y""]","[""Y""]",[],[],"[""Y""]",[],"[""Y""]",[],[],['32'],"[""DEPLOYMENT UNKNOWN"", ""NOT APPLICABLE""]","[""TEST NOT OFFERED""]","[""CHICAGO""]","[""2025-10-09T20:45:00.000""]","[""OTHER"", ""UNKNOWN""]","[""UNKNOWN""]","[""D""]","[""IL""]","[""NONE""]",[],"[""O2167779"", ""O2167780""]","[""DRIVER""]","[""NORMAL"", ""UNKNOWN""]","[""USAGE UNKNOWN""]","[""F""]","[""IL""]","[""2066415"", ""2066416""]","[""60651""]",[],[],[],[],[],[],2025,10,20,9,False,evening,41.91,-87.69,41.91_-87.69,32.0,32,32,OTHER,0
STRAIGHT AND LEVEL,1724,2025-10-09 20:45:00,5,20,10,0CA5AA43C4C0A2EAB3BEAE71A7ADF22695C892428109DDBE289CEC60CCCF46562E6AFD5B6E0EA8FE8D2A820158484243A82A878A92F4D83E1EFDFB2A8107BA13,NO INJURY / DRIVE AWAY,"$501 - $1,500",FUNCTIONING PROPERLY,REAR END,41.9606458833,UNKNOWN,-87.7080815092,2,30,UNABLE TO DETERMINE,UNKNOWN,UNKNOWN,NOT APPLICABLE,N,4343,TRAFFIC SIGNAL,NOT DIVIDED,CLEAR,0.0,0.0,0.0,0.0,0.0,1.0,1,1,[],[],[],"[""2025-10-09T20:45:00.000""]","[""2172045"", ""2172046""]","[""FRONT"", ""REAR""]","[""IL""]","[""TOYOTA""]","[""OTHER"", ""STRAIGHT AHEAD""]","[""OTHER (EXPLAIN IN NARRATIVE)"", ""RAV4""]","[""1""]","[""N""]","[""1"", ""2""]","[""DRIVER""]","[""NONE""]","[""2070467"", ""2070471""]","[""PASSENGER""]","[""PERSONAL""]","[""2015"", ""2021""]",[],[],[],[],[],"[""Y""]",[],[],[],[],[],[],"[""Y""]","[""Y""]","[""Y""]",[],['34'],"[""DEPLOYMENT UNKNOWN"", ""NOT APPLICABLE""]","[""TEST NOT OFFERED""]","[""CHICAGO""]","[""2025-10-09T20:45:00.000""]","[""UNKNOWN""]","[""UNKNOWN""]","[""D""]","[""IL""]","[""NONE""]",[],"[""O2172045"", ""O2172046""]","[""DRIVER""]","[""UNKNOWN""]","[""SAFETY BELT USED"", ""USAGE UNKNOWN""]","[""F""]","[""IL""]","[""2070467"", ""2070471""]","[""60625""]",[],[],[],[],[],[],2025,10,20,9,False,evening,41.96,-87.71,41.96_-87.71,34.0,34,34,OTHER,0
STRAIGHT AND LEVEL,2521,2025-10-09 20:35:00,5,20,10,0F0A77E29AD0675E3EB9A529A99D36A386D0C79222E5FE9C2F6B0AA1EBE782D78AA36B04D982B1296A42116E9F04816418F4BE06AA4D010682D61A0EBD6A9D34,INJURY AND / OR TOW DUE TO CRASH,"$501 - $1,500",NO CONTROLS,PARKED MOTOR VEHICLE,41.938580133,"DARKNESS, LIGHTED ROAD",-87.7457530222,2,30,UNABLE TO DETERMINE,NO DEFECTS,DRY,UNABLE TO DETERMINE,N,3152,NO CONTROLS,ONE-WAY,CLEAR,0.0,0.0,0.0,0.0,0.0,1.0,2,1,"[""Y""]",[],[],"[""2025-10-09T20:35:00.000""]","[""2167118"", ""2167119""]","[""SIDE-LEFT-REAR"", ""SIDE-RIGHT-FRONT""]","[""IL""]","[""CHRYSLER"", ""HYUNDAI""]","[""PARKED"", ""UNKNOWN/NA""]","[""200"", ""SONATA""]","[""0"", ""1""]","[""S"", ""UNKNOWN""]","[""1"", ""2""]","[""DRIVER"", ""PARKED""]","[""UNKNOWN""]","[""2065787"", ""2065788""]","[""PASSENGER""]","[""PERSONAL""]","[""2013"", ""2015""]",[],[],[],"[""PRIVATE TOW""]","[""Y""]","[""Y""]",[],[],[],[],[],[],[],[],[],[],['25'],"[""DID NOT DEPLOY""]","[""TEST NOT OFFERED""]","[""CHICAGO""]","[""2025-10-09T20:35:00.000""]","[""UNKNOWN""]","[""UNKNOWN""]","[""A""]","[""IL""]","[""NONE""]",[],"[""O2167118""]","[""DRIVER""]","[""NORMAL""]","[""USAGE UNKNOWN""]","[""M""]","[""IL""]","[""2065787""]","[""60634""]",[],[],[],[],[],[],2025,10,20,9,False,evening,41.94,-87.75,41.94_-87.75,25.0,25,25,OTHER,0
STRAIGHT AND LEVEL,1813,2025-10-09 20:35:00,5,20,10,FB10F76B356ABBEF37FAD11C95E4A5FA68694681784876FF2A98B0D081BB6522106A1368DD42323F6837610FF33ADE2866B36F062ABFABC92C06F4BDBA03F228,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",NO CONTROLS,PEDALCYCLIST,41.918139381,"DARKNESS, LIGHTED ROAD",-87.6439645014,2,30,FAILING TO YIELD RIGHT-OF-WAY,UNKNOWN,UNKNOWN,UNABLE TO DETERMINE,W,605,STOP SIGN/FLASHER,FOUR WAY,CLEAR,0.0,0.0,1.0,0.0,0.0,1.0,2,2,"[""Y""]",[],"[""Y""]","[""2025-10-09T20:35:00.000""]","[""2167113"", ""2167114""]","[""FRONT""]","[""IL""]","[""AUDI""]","[""STRAIGHT AHEAD""]","[""Q4""]","[""1""]","[""S""]","[""1"", ""2""]","[""BICYCLE"", ""DRIVER""]","[""UNKNOWN""]","[""2065790""]","[""PASSENGER""]","[""PERSONAL""]","[""2025""]",[],[],"[""Y""]",[],[],[],[],[],[],[],[],[],[],[],[],[],"['29', '75']","[""DEPLOYMENT UNKNOWN""]","[""TEST NOT OFFERED""]","[""CHICAGO""]","[""2025-10-09T20:35:00.000""]","[""FAILED TO YIELD"", ""UNKNOWN""]","[""UNKNOWN""]","[""D""]","[""IL""]","[""TOTALLY EJECTED"", ""UNKNOWN""]",[],"[""O2167113"", ""O2167114""]","[""BICYCLE"", ""DRIVER""]","[""UNKNOWN""]","[""BICYCLE HELMET (PEDACYCLIST INVOLVED ONLY)"", ""SAFETY BELT USED""]","[""F""]","[""IL""]","[""2065790""]","[""60610"", ""60614""]","[""CFD""]",[],"[""AGAINST TRAFFIC""]","[""IN ROADWAY""]","[""NO CONTRASTING CLOTHING""]",[],2025,10,20,9,False,evening,41.92,-87.64,41.92_-87.64,52.0,29,75,FAILURE-TO-YIELD,1
STRAIGHT AND LEVEL,1923,2025-10-09 20:30:00,5,20,10,1AE2C8C3E3D64A0E0EDC3ED43F93BD4A5069E1326E1DBFCFA4A0ED6130F6D1344A1C525E86C6430D240DA13B396A8FE6020065C1032DA4B249C892E9009E3304,NO INJURY / DRIVE AWAY,"OVER $1,500",NO CONTROLS,PARKED MOTOR VEHICLE,41.949784017,UNKNOWN,-87.6521274427,2,30,UNABLE TO DETERMINE,UNKNOWN,DRY,NOT APPLICABLE,N,3722,NO CONTROLS,ONE-WAY,CLEAR,0.0,1.0,0.0,0.0,0.0,1.0,2,0,[],[],[],"[""2025-10-09T20:30:00.000""]","[""2167671"", ""2167672""]","[""UNKNOWN""]","[""IL""]","[""BMW"", ""UNKNOWN""]","[""PARKED"", ""UNKNOWN/NA""]","[""OTHER (EXPLAIN IN NARRATIVE)""]","[""0"", ""1""]","[""UNKNOWN""]","[""1"", ""2""]","[""DRIVER"", ""PARKED""]","[""UNKNOWN""]","[""2066308"", ""2066316""]","[""PASSENGER"", ""UNKNOWN/NA""]","[""PERSONAL"", ""UNKNOWN/NA""]","[""2021""]",[],[],[],[],[],"[""Y""]","[""Y""]",[],[],[],[],[],[],"[""Y""]","[""Y""]",[],[],"[""DEPLOYMENT UNKNOWN""]","[""TEST NOT OFFERED""]",[],"[""2025-10-09T20:30:00.000""]","[""UNKNOWN""]","[""UNKNOWN""]",[],[],"[""NONE""]",[],"[""O2167671""]","[""DRIVER""]","[""UNKNOWN""]","[""USAGE UNKNOWN""]","[""X""]",[],"[""2066308""]",[],[],[],[],[],[],[],2025,10,20,9,False,evening,41.95,-87.65,41.95_-87.65,0.0,0,0,OTHER,0
STRAIGHT AND LEVEL,1924,2025-10-09 20:30:00,5,20,10,1D76CA1C89DFAC6226322BFD0FEFAB2EF7527A815350E83BFC4FCE7BD17009F171F5DF616139C3A1F9F2E0215E1861165B51BD9FF51E10C09BF5E407D0BE20EF,NO INJURY / DRIVE AWAY,"$501 - $1,500",FUNCTIONING IMPROPERLY,SIDESWIPE SAME DIRECTION,41.9399460298,"DARKNESS, LIGHTED ROAD",-87.6590776192,2,30,IMPROPER OVERTAKING/PASSING,NO DEFECTS,DRY,NOT APPLICABLE,W,1200,TRAFFIC SIGNAL,NOT DIVIDED,CLEAR,0.0,0.0,0.0,0.0,0.0,1.0,1,2,[],"[""Y""]",[],"[""2025-10-09T20:30:00.000""]","[""2167242"", ""2167243""]","[""SIDE-LEFT"", ""SIDE-RIGHT""]","[""IL""]","[""DODGE"", ""HONDA""]","[""PASSING/OVERTAKING"", ""SLOW/STOP IN TRAFFIC""]","[""CARAVAN"", ""FIT""]","[""1""]","[""W""]","[""1"", ""2""]","[""DRIVER""]","[""NONE"", ""UNKNOWN""]","[""2065930"", ""2065939""]","[""SPORT UTILITY VEHICLE (SUV)"", ""VAN/MINI-VAN""]","[""PERSONAL"", ""UNKNOWN/NA""]","[""2017"", ""2020""]","[""Y""]",[],"[""Y""]",[],[],[],[],"[""Y""]","[""Y""]",[],[],[],[],[],[],[],"['31', '50']","[""DID NOT DEPLOY""]","[""TEST NOT OFFERED""]","[""CHICAGO""]","[""2025-10-09T20:30:00.000""]","[""IMPROPER PASSING"", ""NONE""]","[""NOT OBSCURED"", ""UNKNOWN""]","[""D""]","[""IL""]","[""NONE""]",[],"[""O2167242"", ""O2167243""]","[""DRIVER""]","[""NORMAL"", ""UNKNOWN""]","[""SAFETY BELT USED"", ""USAGE UNKNOWN""]","[""M""]","[""IL""]","[""2065930"", ""2065939""]","[""60618"", ""60651""]",[],[],[],[],[],[],2025,10,20,9,False,evening,41.94,-87.66,41.94_-87.66,40.5,31,50,OTHER,0
STRAIGHT AND LEVEL,312,2025-10-09 20:26:00,5,20,10,A1D653A4EC4F1CD08D33260C215F6038F5ECE6D20F375975793C1F3A799B5048129083AF34790EED3A578A81E605BB26D1B32D2A0EC5133DEED67F99462CB22D,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",FUNCTIONING PROPERLY,PEDESTRIAN,41.7803174705,DARKNESS,-87.6060745584,2,30,UNABLE TO DETERMINE,NO DEFECTS,DRY,NOT APPLICABLE,S,6300,TRAFFIC SIGNAL,NOT DIVIDED,CLEAR,0.0,0.0,0.0,0.0,0.0,1.0,2,1,[],[],"[""Y""]","[""2025-10-09T20:26:00.000""]","[""2167095"", ""2167096""]","[""FRONT-LEFT-CORNER""]","[""WV""]","[""VOLKSWAGEN""]","[""STRAIGHT AHEAD""]","[""JETTA""]","[""1""]","[""S""]","[""1"", ""2""]","[""DRIVER"", ""PEDESTRIAN""]","[""NONE""]","[""2065771""]","[""PASSENGER""]","[""PERSONAL""]","[""2024""]",[],[],"[""Y""]",[],[],[],[],[],"[""Y""]",[],[],[],[],[],[],[],['41'],"[""DID NOT DEPLOY""]","[""TEST NOT OFFERED""]","[""CHICAGO""]","[""2025-10-09T20:26:00.000""]","[""NONE"", ""UNKNOWN""]","[""UNKNOWN""]","[""D""]","[""IL""]","[""NONE""]","[""UNIVERSITY OF CHICAGO""]","[""O2167095"", ""O2167096""]","[""DRIVER"", ""PEDESTRIAN""]","[""NORMAL"", ""UNKNOWN""]","[""NONE PRESENT"", ""USAGE UNKNOWN""]","[""M""]","[""IL""]","[""2065771""]","[""60653""]","[""AMBO 36""]",[],"[""CROSSING - AGAINST SIGNAL""]","[""IN ROADWAY""]","[""NO CONTRASTING CLOTHING""]",[],2025,10,20,9,False,evening,41.78,-87.61,41.78_-87.61,41.0,41,41,OTHER,1
