alignment,beat_of_occurrence,crash_date,crash_day_of_week,crash_hour,crash_month,crash_record_id,crash_type,damage,date_police_notified,device_condition,first_crash_type,hit_and_run_i,injuries_fatal,injuries_incapacitating,injuries_no_indication,injuries_non_incapacitating,injuries_reported_not_evident,injuries_total,injuries_unknown,latitude,lighting_condition,longitude,most_severe_injury,num_units,posted_speed_limit,prim_contributory_cause,report_type,road_defect,roadway_surface_cond,sec_contributory_cause,street_direction,street_name,street_no,traffic_control_device,trafficway_type,weather_condition,intersection_related_i,crash_date_est_i,private_property_i,statements_taken_i,photos_taken_i,work_zone_i,veh_count,ppl_count,location_json,veh_first_contact_point_list_json,veh_maneuver_list_json,veh_towed_i_list_json,veh_travel_direction_list_json,veh_unit_type_list_json,veh_vehicle_defect_list_json,veh_vehicle_use_list_json,veh_vehicle_year_list_json,ppl_age_list_json,ppl_airbag_deployed_list_json,ppl_ejection_list_json,ppl_injury_classification_list_json,ppl_person_type_list_json,ppl_safety_equipment_list_json,ppl_sex_list_json,ppl_seat_no_list_json
STRAIGHT AND LEVEL,1934,2025-09-18T19:15:00.000,5,19,9,4121c9f29e74ee7f3c01987bad250010c07b77072dcdd8af16a996f89a73ae552287602db28e61f216f78609917bf444c41d143fb344482bba756d37cf18fb4e,NO INJURY / DRIVE AWAY,"OVER $1,500",2025-09-18T19:18:00.000,NO CONTROLS,REAR END,,0,0,2,0,0,0,0,41.9402706775,"DARKNESS, LIGHTED ROAD",-87.6384899074,NO INDICATION OF INJURY,2,40,FOLLOWING TOO CLOSELY,ON SCENE,NO DEFECTS,DRY,UNABLE TO DETERMINE,N,LAKE SHORE DR NB,3198,NO CONTROLS,DIVIDED - W/MEDIAN BARRIER,CLEAR,,,,,,,2,2,"{""coordinates"": [-87.63848990741, 41.940270677535], ""type"": ""Point""}","[""FRONT"", ""REAR""]","[""SLOW/STOP IN TRAFFIC"", ""STRAIGHT AHEAD""]",[],"[""N""]","[""DRIVER""]","[""NONE""]","[""PERSONAL""]","[""2008""]","[""24"", ""28""]","[""DID NOT DEPLOY""]","[""NONE""]","[""NO INDICATION OF INJURY""]","[""DRIVER""]","[""SAFETY BELT USED""]","[""F"", ""M""]",[]
STRAIGHT AND LEVEL,2532,2025-09-18T19:15:00.000,5,19,9,e42ad624ebd04e88daa2cbe40ce6750b49a479598e275f0a8e46a2283db547d54ba958d35c078cc0d753e7227d16e19e292ab0dd456ce13c8613b3ffac42fb64,INJURY AND / OR TOW DUE TO CRASH,"$501 - $1,500",2025-09-18T20:45:00.000,UNKNOWN,PEDESTRIAN,,0,1,1,0,0,1,0,41.9093733604,DUSK,-87.7572351876,INCAPACITATING INJURY,2,30,UNABLE TO DETERMINE,NOT ON SCENE (DESK REPORT),UNKNOWN,DRY,UNABLE TO DETERMINE,W,NORTH AVE,5241,STOP SIGN/FLASHER,DIVIDED - W/MEDIAN (NOT RAISED),CLEAR,Y,,,,,,2,2,"{""coordinates"": [-87.75723518758, 41.909373360413], ""type"": ""Point""}","[""OTHER""]","[""TURNING LEFT""]",[],"[""E""]","[""DRIVER"", ""PEDESTRIAN""]","[""UNKNOWN""]","[""PERSONAL""]","[""2020""]","[""0"", ""39""]","[""DEPLOYMENT UNKNOWN""]","[""NONE""]","[""INCAPACITATING INJURY"", ""NO INDICATION OF INJURY""]","[""DRIVER"", ""PEDESTRIAN""]","[""USAGE UNKNOWN""]","[""F"", ""M""]",[]
STRAIGHT AND LEVEL,1214,2025-09-18T19:18:00.000,5,19,9,07257f3e545371cd83f78e4d0f56ece4cce9d9537dfd61cd13d16bcadcaddfd401974e609c853b7a2bd1078ab7a8cf77230d394d22c73a7fd4f69b7daedf2856,NO INJURY / DRIVE AWAY,"OVER $1,500",2025-09-19T06:40:00.000,NO CONTROLS,SIDESWIPE SAME DIRECTION,,0,0,2,0,0,0,0,41.8857969415,DUSK,-87.6457008083,NO INDICATION OF INJURY,2,25,IMPROPER OVERTAKING/PASSING,NOT ON SCENE (DESK REPORT),NO DEFECTS,DRY,UNABLE TO DETERMINE,W,LAKE ST,700,NO CONTROLS,NOT DIVIDED,CLEAR,Y,,,,,,2,2,"{""coordinates"": [-87.645700808301, 41.885796941486], ""type"": ""Point""}","[""FRONT-LEFT-CORNER"", ""SIDE-RIGHT-FRONT""]","[""PASSING/OVERTAKING"", ""SLOW/STOP IN TRAFFIC""]",[],"[""W""]","[""DRIVER""]","[""NONE""]","[""PERSONAL"", ""TAXI/FOR HIRE""]","[""2009"", ""2017""]","[""41""]","[""DID NOT DEPLOY""]","[""NONE""]","[""NO INDICATION OF INJURY""]","[""DRIVER""]","[""SAFETY BELT USED""]","[""F"", ""M""]",[]
STRAIGHT AND LEVEL,2523,2025-09-18T19:20:00.000,5,19,9,3c4e1abfa56d1d070df3b8b6cc0e258e94a3244ac4f2e7013028c23782ef14e7467c12f323201fb16516f6c505934e0724c6615b7f3177b0b9391cefc76c0e88,INJURY AND / OR TOW DUE TO CRASH,$500 OR LESS,2025-09-18T19:28:00.000,NO CONTROLS,PEDALCYCLIST,Y,0,0,1,0,1,1,0,41.939099915,DAYLIGHT,-87.7217225826,"REPORTED, NOT EVIDENT",2,30,FAILING TO YIELD RIGHT-OF-WAY,ON SCENE,NO DEFECTS,DRY,NOT APPLICABLE,N,HAMLIN AVE,3199,NO CONTROLS,T-INTERSECTION,CLEAR,,,,,,,2,2,"{""coordinates"": [-87.721722582641, 41.939099914997], ""type"": ""Point""}","[""UNKNOWN""]","[""TURNING RIGHT""]",[],"[""S""]","[""BICYCLE"", ""DRIVER""]","[""UNKNOWN""]","[""UNKNOWN/NA""]","[""2020""]","[""42""]","[""DEPLOYMENT UNKNOWN""]","[""NONE""]","[""NO INDICATION OF INJURY"", ""REPORTED, NOT EVIDENT""]","[""BICYCLE"", ""DRIVER""]","[""HELMET NOT USED"", ""USAGE UNKNOWN""]","[""M"", ""X""]",[]
STRAIGHT AND LEVEL,233,2025-09-18T19:20:00.000,5,19,9,a6a2d8f3b30938fb288db110b7060a0fcb051b4d1bcfdbd5164e44cb244b7e9be54ceafc89df5368eab05170523f73f00737ecd9247e95da1f1af78d1248ff5c,INJURY AND / OR TOW DUE TO CRASH,$500 OR LESS,2025-09-18T20:55:00.000,NO CONTROLS,REAR END,,0,0,2,1,0,1,0,41.7937888398,DAYLIGHT,-87.6129233409,NONINCAPACITATING INJURY,2,30,UNABLE TO DETERMINE,ON SCENE,UNKNOWN,UNKNOWN,UNABLE TO DETERMINE,E,MORGAN DR,500,NO CONTROLS,NOT DIVIDED,CLEAR,,,,,,,2,3,"{""coordinates"": [-87.612923340911, 41.793788839828], ""type"": ""Point""}","[""FRONT"", ""REAR""]","[""STRAIGHT AHEAD""]","[""N""]","[""W""]","[""DRIVER""]","[""UNKNOWN""]","[""RIDESHARE SERVICE"", ""UNKNOWN/NA""]","[""2019""]","[""51""]","[""DEPLOYMENT UNKNOWN"", ""NOT APPLICABLE""]","[""NONE"", ""UNKNOWN""]","[""NO INDICATION OF INJURY"", ""NONINCAPACITATING INJURY""]","[""DRIVER"", ""PASSENGER""]","[""USAGE UNKNOWN""]","[""F"", ""M"", ""X""]","[""6""]"
STRAIGHT AND LEVEL,832,2025-09-18T19:25:00.000,5,19,9,6c919b494a41fc42916394b57071667258b6e64f8ca20299f41f60789ed192a829dfc1253d6c3cf1d7a47b104b78d901954435714fa4e3783dac2972dda98dc0,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",2025-09-18T19:27:00.000,FUNCTIONING PROPERLY,PEDALCYCLIST,,0,0,1,0,1,1,0,41.7755394676,"DARKNESS, LIGHTED ROAD",-87.6796155599,"REPORTED, NOT EVIDENT",2,30,FAILING TO YIELD RIGHT-OF-WAY,ON SCENE,NO DEFECTS,DRY,NOT APPLICABLE,S,BELL AVE,6501,STOP SIGN/FLASHER,NOT DIVIDED,CLEAR,,,,,,,2,2,"{""coordinates"": [-87.679615559864, 41.775539467567], ""type"": ""Point""}","[""SIDE-RIGHT""]","[""STRAIGHT AHEAD""]",[],"[""N""]","[""BICYCLE"", ""DRIVER""]","[""NONE""]","[""UNKNOWN/NA""]","[""2019""]","[""20"", ""22""]","[""DID NOT DEPLOY""]","[""NONE""]","[""NO INDICATION OF INJURY"", ""REPORTED, NOT EVIDENT""]","[""BICYCLE"", ""DRIVER""]","[""BICYCLE HELMET (PEDACYCLIST INVOLVED ONLY)"", ""USAGE UNKNOWN""]","[""F"", ""M""]",[]
STRAIGHT AND LEVEL,923,2025-09-18T19:30:00.000,5,19,9,333e5a466ed9313baa37b940658ef1fea049c65e6bccf16e909ce36cf22ce4fac5070714fe56e071283d3dab7df2f698ed41c1d3ee696bfedaac6e12b1e86a20,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",2025-09-18T19:31:00.000,FUNCTIONING PROPERLY,SIDESWIPE SAME DIRECTION,,0,0,2,0,0,0,0,41.7951704412,"DARKNESS, LIGHTED ROAD",-87.6842194389,NO INDICATION OF INJURY,2,30,UNABLE TO DETERMINE,ON SCENE,NO DEFECTS,DRY,NOT APPLICABLE,S,WESTERN AVE,5400,TRAFFIC SIGNAL,NOT DIVIDED,CLEAR,,,,,,,2,2,"{""coordinates"": [-87.684219438912, 41.795170441201], ""type"": ""Point""}","[""FRONT-RIGHT-CORNER"", ""SIDE-LEFT""]","[""CHANGING LANES"", ""STRAIGHT AHEAD""]","[""N"", ""Y""]","[""N""]","[""DRIVER""]","[""UNKNOWN""]","[""OTHER"", ""PERSONAL""]","[""2016"", ""2021""]","[""23""]","[""DID NOT DEPLOY""]","[""NONE""]","[""NO INDICATION OF INJURY""]","[""DRIVER""]","[""USAGE UNKNOWN""]","[""M""]",[]
STRAIGHT AND LEVEL,2022,2025-09-18T19:30:00.000,5,19,9,ec2194654ca4f38ab70ae263c42552f0e24999727bcbd63ecf8a437dff67be0480301df4bb1d5cf516dd7ca418d4372f801b6c78db28dfc00dc2c7098bec35f0,NO INJURY / DRIVE AWAY,"OVER $1,500",2025-09-18T20:00:00.000,NO CONTROLS,SIDESWIPE SAME DIRECTION,,0,0,3,0,0,0,0,41.9894860549,"DARKNESS, LIGHTED ROAD",-87.6552193516,NO INDICATION OF INJURY,2,30,UNABLE TO DETERMINE,NOT ON SCENE (DESK REPORT),NO DEFECTS,DRY,NOT APPLICABLE,N,SHERIDAN RD,5909,NO CONTROLS,NOT DIVIDED,CLEAR,,,,,,,2,3,"{""coordinates"": [-87.655219351579, 41.989486054872], ""type"": ""Point""}","[""FRONT-RIGHT-CORNER"", ""REAR-LEFT-CORNER""]","[""MERGING"", ""STRAIGHT AHEAD""]",[],"[""N""]","[""DRIVER""]","[""NONE"", ""UNKNOWN""]","[""PERSONAL""]","[""2018"", ""2019""]","[""17"", ""56""]","[""DID NOT DEPLOY""]","[""NONE""]","[""NO INDICATION OF INJURY""]","[""DRIVER"", ""PASSENGER""]","[""SAFETY BELT USED""]","[""F"", ""M""]","[""3""]"
STRAIGHT AND LEVEL,1523,2025-09-18T19:33:00.000,5,19,9,ab0564ce23d93d1076fa8ece17114aa9f016593eec5eccf3ccd03f7847b5ec9371d437d181e04d486a922fb7955a629fc109cda362cf40a6d1ee6a6b7a653afc,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",2025-09-18T19:33:00.000,FUNCTIONING PROPERLY,ANGLE,Y,0,0,3,0,0,0,0,41.8873928963,"DARKNESS, LIGHTED ROAD",-87.7614584427,NO INDICATION OF INJURY,2,30,UNABLE TO DETERMINE,,NO DEFECTS,DRY,NOT APPLICABLE,W,LAKE ST,5424,STOP SIGN/FLASHER,FOUR WAY,CLEAR,Y,,,,,,2,3,"{""coordinates"": [-87.761458442718, 41.88739289626], ""type"": ""Point""}","[""FRONT"", ""SIDE-RIGHT""]","[""STRAIGHT AHEAD""]","[""Y""]","[""S"", ""W""]","[""DRIVER""]","[""UNKNOWN""]","[""PERSONAL"", ""UNKNOWN/NA""]","[""2016"", ""2024""]","[""21""]","[""DEPLOYED, FRONT"", ""DEPLOYED, SIDE"", ""DEPLOYMENT UNKNOWN""]","[""NONE"", ""UNKNOWN""]","[""NO INDICATION OF INJURY""]","[""DRIVER"", ""PASSENGER""]","[""SAFETY BELT USED"", ""USAGE UNKNOWN""]","[""F"", ""M""]","[""3""]"
STRAIGHT AND LEVEL,1712,2025-09-18T19:45:00.000,5,19,9,3bbd109516989e65e7b60a49f593658afe1c087f9da344c7b58f7f2fec64e4469af1cddc495829c49a72525b804646ce82e10293b2168caf930c8759c15b983d,NO INJURY / DRIVE AWAY,"OVER $1,500",2025-09-18T20:18:00.000,NO CONTROLS,REAR END,Y,0,0,3,0,0,0,0,41.9684167247,"DARKNESS, LIGHTED ROAD",-87.7220597187,NO INDICATION OF INJURY,2,35,FOLLOWING TOO CLOSELY,NOT ON SCENE (DESK REPORT),NO DEFECTS,DRY,NOT APPLICABLE,W,LAWRENCE AVE,3734,NO CONTROLS,DIVIDED - W/MEDIAN (NOT RAISED),CLEAR,,,,,,,2,3,"{""coordinates"": [-87.72205971871, 41.968416724654], ""type"": ""Point""}","[""FRONT"", ""REAR-RIGHT-CORNER""]","[""STRAIGHT AHEAD""]",[],"[""W""]","[""DRIVER""]","[""NONE"", ""UNKNOWN""]","[""PERSONAL""]","[""2004"", ""2017""]","[""55""]","[""DEPLOYMENT UNKNOWN"", ""DID NOT DEPLOY""]","[""NONE""]","[""NO INDICATION OF INJURY""]","[""DRIVER"", ""PASSENGER""]","[""SAFETY BELT USED"", ""USAGE UNKNOWN""]","[""M""]","[""3""]"
